name,peak1,amplitude1,peak2,amplitude2,peak_difference,peak_ratio
PPP-MM-Ref-1,1221.2058505442726,0.9488156657006026,1281.4853421617638,0.4391355686308668,60.2794916174912,0.4628249558955273
PPP-MM-Ref-2,1220.6007696783704,0.9695437422922808,1280.7648884916007,0.4966661167483547,60.16411881323029,0.5122678792955673
PPP-MM-1,1222.5057541627168,0.9945521981350932,1282.682761072428,0.3582507209900936,60.17700690971128,0.3602130905364821
PPP-MM-2,1223.8530857417672,1.0001085860613346,1281.9640490982931,0.4027804825180656,58.11096335652587,0.40273675092052846
PPP-MM-3,1223.3875541692746,0.9494135054520887,1280.8889422582852,0.40043431748874914,57.50138808901056,0.4217701930604743
PPP-MM-4,1223.2491400966865,1.0072200690066717,1281.6577093310734,0.33828534744015215,58.40856923438696,0.33586041208826567
PPP-MM-5,1224.301652959419,1.005161388530524,1282.821481912339,0.37619296628653137,58.51982895292008,0.37426125851938996
PPP-MM-3_6h,1221.7142548775528,0.8835003290417167,1281.7378591357083,0.5099717223923054,60.0236042581555,0.5772173542317105
PPP-MM-3_4h,1220.6919763316168,0.9278576064403,1281.0569004194929,0.5460799099750827,60.364924087876034,0.5885384849838147
PPP-MM-3_2h,1222.3757082609761,1.0186859596641802,1280.123163155745,0.4511005584975728,57.74745489476891,0.4428259310124216
PPP-PBM-11,1206.211887196256,0.058868908540883065,1354.7345460412398,0.9789543845835855,148.52265884498388,16.629395870380794
PPP-PBM-12,1219.9998465108392,1.0074936540674784,1278.8850508972075,0.37032424671924125,58.88520438636829,0.3675698057493057
PPP-PBM-14,1223.469817564262,0.9875235399436777,1282.8795997321654,0.3479765302609311,59.40978216790336,0.35237289663067434
