,loading,diffusion,diffusion_variance
0,10,1.0844265523773012e-09,2.738612925139658e-10
1,20,1.2686098502500104e-09,4.448053965340054e-10
2,30,1.3010367143861702e-09,3.0738840208322177e-10
3,40,1.2229468960189423e-09,2.553870580214688e-10
4,50,1.1406852194391146e-09,2.6362657546045375e-10
5,60,1.0571749716914613e-09,1.4185541737998214e-10
6,70,1.4568362862404467e-09,2.1369307173634316e-10
7,80,1.4358534261253354e-09,2.8387168066213767e-10
8,90,1.8536153699371015e-09,2.1738023959831632e-10
9,100,1.8410046502043856e-09,9.938636748271424e-11
10,110,1.6559082769691047e-09,1.4194127609967675e-10
11,120,1.2386546192923428e-09,1.7555177631336892e-10
12,130,1.1228803801181528e-09,1.8145047849245092e-10
13,140,8.444097682347148e-10,1.873373982999988e-10
14,150,8.988771069611664e-10,1.2401107750652848e-10
15,160,9.04623941146971e-10,7.17948184362598e-11
16,170,1.46570170527526e-09,2.1285316388377821e-10
17,180,1.3437804229878728e-09,1.419541394900323e-10
