,loading[molec.UC-1],diffusivity[m2/s],errorloading[molec.UC-1],errordiffusivity[m2/s]
0,34.75,2.6211807254278547e-09,4.645786621588785,3.1634616351973333e-10
1,60.25,3.339315029095324e-09,2.6299556396765835,3.299072748696978e-10
2,90.0,4.456975481626032e-09,4.898979485566356,6.618378913672812e-10
3,103.0,4.879738470342242e-09,2.5819888974716094,5.790706444929301e-10
4,100.75,5.508779744186043e-09,6.2915286960589585,7.36852737609087e-10
5,115.75,6.288026783284958e-09,4.7871355387816905,2.9045251346364984e-10
6,130.75,7.454084628150262e-09,4.272001872658768,3.658293865314451e-10
7,130.5,7.650492889543179e-09,4.43471156521669,1.0517850917835468e-09
8,132.25,7.74016692936154e-09,6.701989754294367,3.231585770034302e-10
9,146.25,7.85733478379838e-09,3.2015621187164247,5.652242839712872e-10
10,523.5,5.243497171334928e-09,1.9148542155126762,1.5055059089904702e-10
11,519.25,5.253191852709382e-09,2.7537852736430666,1.2490921090962656e-10
12,532.0,4.845393983323876e-09,1.4142135623731018,1.6064375643896394e-10
13,524.6666666666666,5.336834129965044e-09,0.577350269189634,1.834473513128832e-10
14,542.5,4.65732170571526e-09,2.3804761428476167,1.033460299177505e-10
15,544.5,4.733473587692462e-09,1.2909944487358056,1.2294254832871063e-10
16,534.5,4.832973862121959e-09,1.2909944487358056,1.3972579899910654e-10
17,552.75,4.447577026937285e-09,0.5000000000000094,1.864534345077744e-10
18,536.3333333333334,4.766958125841969e-09,1.5275252316519499,2.592556725393014e-10
19,551.5,4.3875306213416554e-09,2.3804761428476167,7.598616733158444e-11
20,553.0,4.594470723079769e-09,,
21,540.0,4.5203112333444405e-09,,
22,555.0,4.683700072935227e-09,,
23,553.0,4.527504859357292e-09,,
24,558.0,4.318381835907972e-09,,
25,549.0,4.552942554885579e-09,,
26,565.0,4.0253958506882566e-09,,
27,558.0,4.427010716986763e-09,,
28,553.0,4.227303213023145e-09,,
29,563.0,4.045306942686245e-09,,
30,573.0,4.1180386442448305e-09,,
31,567.0,4.327751921436687e-09,,
32,562.0,4.2536122786042605e-09,,
33,557.0,4.12979154024008e-09,,
34,568.0,3.815909632016548e-09,,
35,572.0,3.990170565530405e-09,,
36,566.0,3.885741695893075e-09,,
37,566.0,4.2311936616520066e-09,,
38,572.0,3.801912191283352e-09,,
39,565.0,4.0836160940490646e-09,,
