,pressure[bar],average_amount,error_amount
0,0.025,42.64670658682635,5.7375165306826625
38,0.05,68.89221556886227,5.812125057675979
10,0.075,83.20159680638723,6.112491500233674
27,0.1,93.44311377245509,6.581839883537497
17,0.125,104.99800399201597,7.254016439117439
35,0.15,112.3313373253493,7.487181061486963
34,0.175,301.12175648702595,166.0900819286884
1,0.2,491.92415169660677,10.3309621029697
24,0.225,507.6946107784431,7.362888471579192
32,0.25,515.7185628742515,4.524785890606015
12,0.275,520.439121756487,5.545563981004176
2,0.3,532.748502994012,4.110818057793662
9,0.325,533.0359281437126,6.344305019029066
18,0.35,537.810379241517,4.966351051863684
29,0.375,532.9001996007984,4.65774953155303
26,0.4,535.9760479041917,4.922495629582021
3,0.425,540.7225548902196,4.630980274507255
5,0.45,545.6586826347306,5.85872172240981
28,0.475,546.7305389221557,5.6587280463701815
6,0.5,546.5728542914171,6.463870233840303
30,0.525,544.626746506986,4.463469287164174
16,0.55,548.4770459081836,3.184601808473261
21,0.575,550.7125748502993,4.753528110560666
39,0.6,552.0299401197605,3.898551575602396
8,0.625,552.8702594810379,3.8314193432938914
23,0.65,553.4590818363273,5.508550997051329
13,0.675,553.0399201596806,3.0179772729384213
4,0.7,560.4491017964071,3.8155978061609175
14,0.725,556.5489021956088,3.0307973089204845
33,0.75,565.6726546906187,8.23389559474691
15,0.775,565.7944111776447,3.537600806149201
25,0.8,559.3013972055888,3.0607583310007658
11,0.825,559.065868263473,3.2182198211086868
7,0.85,561.5069860279441,3.661098716257734
20,0.875,570.1157684630739,4.103765232091522
31,0.9,560.3572854291417,3.0736293565627295
37,0.925,560.9361277445109,3.9274752770126526
19,0.95,563.3592814371258,4.12173280550726
22,0.975,565.5688622754491,6.337934181074048
36,1.0,559.5928143712575,4.19793080188778
